name,country_code,country,year,p1,p2,p3,p4,p5,p6,total,abs_rank,rel_rank(%),prize
Plamen Dimitrov Stefanov,BGR,Bulgaria,1977,,,,,,,29,22,86.36,"Silver medal, Special prize"
Ognjan Trifunov,BGR,Bulgaria,1977,,,,,,,21,50,68.18,Bronze medal
Angel Zhivkov,BGR,Bulgaria,1977,,,,,,,17,73,53.25,Bronze medal
Vladimir Dimitrov Babev,BGR,Bulgaria,1976,1,0,5,6,1,7,20,51,63.77,Bronze medal
Henry Ivanov Budinov,BGR,Bulgaria,1976,5,1,3,3,0,7,19,55,60.87,Bronze medal
Georgy Ivanov Georgiev,BGR,Bulgaria,1976,2,0,7,4,0,7,20,51,63.77,Bronze medal
Angel Ivanov Jivkov,BGR,Bulgaria,1976,5,0,7,5,0,7,24,28,80.43,Silver medal
Kostadin Nedelchev Koruchev,BGR,Bulgaria,1976,1,7,3,4,0,7,22,38,73.19,Bronze medal
Plamen Emilov Koshlvkov,BGR,Bulgaria,1976,0,3,6,4,1,7,21,43,69.57,Bronze medal
Rossen Asenov Nikolov,BGR,Bulgaria,1976,5,0,5,4,0,7,21,43,69.57,Bronze medal
Plamen Dimitrov Stefanov,BGR,Bulgaria,1976,3,7,1,6,4,6,27,19,86.96,Silver medal
*,BGR,Bulgaria,1975,3,0,3,5,1,1,13,101,25.37,""
*,BGR,Bulgaria,1975,4,1,7,0,0,2,14,98,27.61,""
*,BGR,Bulgaria,1975,6,7,7,6,1,3,30,34,75.37,Bronze medal
*,BGR,Bulgaria,1975,5,7,7,0,6,2,27,48,64.93,Bronze medal
*,BGR,Bulgaria,1975,6,7,5,0,6,4,28,41,70.15,Bronze medal
*,BGR,Bulgaria,1975,1,2,1,6,6,0,16,92,32.09,""
*,BGR,Bulgaria,1975,6,7,7,1,0,4,25,61,55.22,Bronze medal
Veselin Zhilkov,BGR,Bulgaria,1975,5,1,7,6,6,8,33,27,80.6,Silver medal
Rumen Angelov,BGR,Bulgaria,1974,5,5,1,6,0,0,17,94,33.09,""
Tschavdar Dangaltschev,BGR,Bulgaria,1974,5,4,8,6,1,0,24,57,59.71,Bronze medal
Tsanko Donchev,BGR,Bulgaria,1974,4,6,2,6,7,8,33,23,84.17,Silver medal
Vladimir Georgiev,BGR,Bulgaria,1974,5,6,8,2,2,2,25,52,63.31,Bronze medal
Manol Iliev,BGR,Bulgaria,1974,2,6,3,6,5,1,23,63,55.4,Bronze medal
Kostadin Nedelchev Koruchev,BGR,Bulgaria,1974,5,0,0,5,0,0,10,127,9.35,""
Atanass Naidenov,BGR,Bulgaria,1974,0,6,8,4,7,0,25,52,63.31,Bronze medal
Ivan Velev,BGR,Bulgaria,1974,5,3,0,6,0,0,14,108,23.02,""
Tsanko Donchev,BGR,Bulgaria,1973,0,0,4,0,6,0,10,93,25.81,""
Valeri Kovachev,BGR,Bulgaria,1973,6,6,3,0,6,0,21,43,66.13,Bronze medal
Kraemir Markov,BGR,Bulgaria,1973,1,0,6,6,1,0,14,76,39.52,""
Rumen Marshov,BGR,Bulgaria,1973,6,0,2,6,0,0,14,76,39.52,""
Hristo Minchev,BGR,Bulgaria,1973,3,0,1,0,0,0,4,116,7.26,""
Atanass Naidenov,BGR,Bulgaria,1973,0,0,8,0,6,0,14,76,39.52,""
Svetoslav Savchev,BGR,Bulgaria,1973,0,0,5,1,1,0,7,105,16.13,""
Zdravko Slavov,BGR,Bulgaria,1973,0,0,1,6,5,0,12,84,33.06,""
*,BGR,Bulgaria,1972,,,,,,,10,76,29.25,""
*,BGR,Bulgaria,1972,,,,,,,17,56,48.11,""
Kamen Ivanov,BGR,Bulgaria,1972,,,,,,,22,39,64.15,Bronze medal
*,BGR,Bulgaria,1972,,,,,,,11,71,33.96,""
*,BGR,Bulgaria,1972,,,,,,,15,61,43.4,""
*,BGR,Bulgaria,1972,,,,,,,3,97,9.43,""
Risko Shikov,BGR,Bulgaria,1972,,,,,,,29,25,77.36,Bronze medal
*,BGR,Bulgaria,1972,,,,,,,13,67,37.74,""
*,BGR,Bulgaria,1971,,,,,,,6,69,40.35,""
*,BGR,Bulgaria,1971,,,,,,,10,49,57.89,""
*,BGR,Bulgaria,1971,,,,,,,3,90,21.93,""
*,BGR,Bulgaria,1971,,,,,,,4,82,28.95,""
*,BGR,Bulgaria,1971,,,,,,,8,59,49.12,""
*,BGR,Bulgaria,1971,,,,,,,3,90,21.93,""
*,BGR,Bulgaria,1971,,,,,,,4,82,28.95,""
*,BGR,Bulgaria,1971,,,,,,,1,106,7.89,""
*,BGR,Bulgaria,1970,,,,,,,11,91,18.92,""
Milen Dimchev,BGR,Bulgaria,1970,,,,,,,24,30,73.87,Bronze medal
Ilija Kalderov,BGR,Bulgaria,1970,,,,,,,21,44,61.26,Bronze medal
*,BGR,Bulgaria,1970,,,,,,,18,59,47.75,""
*,BGR,Bulgaria,1970,,,,,,,11,91,18.92,""
*,BGR,Bulgaria,1970,,,,,,,18,59,47.75,""
*,BGR,Bulgaria,1970,,,,,,,18,59,47.75,""
Stepan Terzijan,BGR,Bulgaria,1970,,,,,,,24,30,73.87,Bronze medal
Oleg Krestev Mushkarov,BGR,Bulgaria,1969,5,4,4,3,7,5,28,25,78.38,Bronze medal
Hristo Nikolov Lesov,BGR,Bulgaria,1969,5,4,4,2,7,6,28,25,78.38,Bronze medal
Donka Pashkuleva,BGR,Bulgaria,1969,5,4,1,2,5,3,20,58,48.65,""
Georgi Popov,BGR,Bulgaria,1969,3,4,5,0,6,3,21,52,54.05,""
Vesko Spasov,BGR,Bulgaria,1969,5,4,1,6,2,4,22,46,59.46,""
Virdzhinia Stoinova Hristova,BGR,Bulgaria,1969,1,4,4,6,6,4,25,34,70.27,Bronze medal
Stepan Terzijan,BGR,Bulgaria,1969,5,5,0,0,7,5,22,46,59.46,""
Vladimir Todorov,BGR,Bulgaria,1969,5,4,1,6,7,0,23,45,60.36,""
Dikran Dikranian,BGR,Bulgaria,1968,5,7,6,5,6,8,37,28,71.58,Silver medal
Dimo Dimov,BGR,Bulgaria,1968,4,3,1,5,0,0,13,86,10.53,""
Veselin Drenski,BGR,Bulgaria,1968,4,7,7,0,7,8,33,43,55.79,Silver medal
Hristo Hristov,BGR,Bulgaria,1968,5,5,1,3,3,5,22,70,27.37,""
Ivan Ivanov,BGR,Bulgaria,1968,2,7,7,5,6,8,35,33,66.32,Silver medal
Nikolai Kitev,BGR,Bulgaria,1968,6,6,0,5,0,3,20,72,25.26,""
Kostadin Krachanov,BGR,Bulgaria,1968,0,6,1,5,1,2,15,81,15.79,""
Nedelcho Milev,BGR,Bulgaria,1968,3,7,2,5,5,7,29,51,47.37,Bronze medal
